Address,Is address
"Proin feugiat ligula vel lobortis egestas. Ut",0
"Mauris enim massa, tempor sed scelerisque in,",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"idunt orci.",0
"Proin efficitur interdum finibus. Ut nec erat",0
"Vivamus eu rhoncus dui, tristique commodo eni",0
"Donec odio nunc, tincidunt ac justo ac, gravi",0
"Quisque mauris turpis, posuere id condimentum",0
"Praesent ut lorem a sapien scelerisque bibend",0
"Etiam ultricies velit orci, sed viverra felis",0
"Phasellus a blandit augue. Proin quis risus l",0
"Etiam facilisis porttitor ipsum, vitae maximu",0
"Quisque aliquam lorem turpis. Cras gravida to",0
"Aliquam eleifend volutpat efficitur. Fusce ut",0
"Nullam vel pharetra tortor. Morbi aliquet est",0
"In et enim viverra, vulputate sem a, imperdie",0
"Sed tincidunt quam aliquet enim dignissim, et",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"Donec ultricies ex turpis, eu condimentum aug",0
"Aenean mollis viverra feugiat. Phasellus pell",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Nulla metus odio, auctor ut justo at, bibendu",0
"Nam ornare dapibus velit a hendrerit. Ut sed",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"Donec ultricies ex turpis, eu condimentum aug",0
"Praesent vel purus ac massa fringilla gravida",0
"metus leo scelerisque justo, non bibendum ex",0
"Sed suscipit malesuada turpis vitae suscipit.",0
"Morbi a molestie arcu. Vivamus vitae varius o",0
"In hac habitasse platea dictumst. Proin ut fe",0
"Donec iaculis urna a erat molestie aliquet. A",0
"Integer id facilisis turpis. Nam sit amet sol",0
"Ut a elit accumsan tellus scelerisque finibus",0
"Aliquam quis leo sodales, porttitor elit port",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"Donec ultricies ex turpis, eu condimentum aug",0
"Aenean mollis viverra feugiat. Phasellus pell",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Aenean mollis viverra feugiat. Phasellus pell",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna e Morbi viverra semper",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec ut quam ac nisl fringilla condimentum.",0
"Nunc imperdiet mi non diam porta malesuada. S",0
"Integer nec pulvinar tortor. Donec vehicula o",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Integer nec pulvinar tortor. Donec vehicula o",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Maecenas orci lacus, posuere ac neque ut, iac",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Integer nec pulvinar tortor. Donec vehicula o",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Maecenas orci lacus, posuere ac neque ut, iac",0
"Pellentesque odio sapien, bibendum et dolor u",0
"Proin condimentum condimentum augue ultrices",0
"Fusce eget maximus massa. Aenean dignissim eg",0
"Vivamus in ex condimentum, efficitur orci id,",0
"Aenean vestibulum nulla ac imperdiet vulputat",0
"Nunc imperdiet malesuada erat et vulputate. A",0
"Cras tincidunt eleifend arcu. Morbi tincidunt",0
"Quisque vel elit enim. Pellentesque bibendum,",0
"Cras tincidunt eleifend arcu. Morbi tincidunt",0
"Quisque vel elit enim. Pellentesque bibendum,",0
"Suspendisse potenti. Curabitur lobortis mi a",0
"Suspendisse sit amet magna lectus. Phasellus",0
"Proin vitae magna nunc. Class aptent taciti s",0
"Suspendisse potenti. Curabitur lobortis mi a",0
"Suspendisse sit amet magna lectus. Phasellus",0
"Proin vitae magna nunc. Class aptent taciti s",0
"Ut sollicitudin sapien velit, ut fringilla me",0
"Pellentesque luctus iaculis vehicula. Ut soda",0
"Proin justo ex, gravida eget sapien nec, accu",0
"Proin posuere sem urna, vel iaculis justo pel",0
"Nullam nibh sapien, tempor et egestas vel, mo",0
"Nam molestie aliquam malesuada. Nunc et pulvi",0
"Pellentesque vestibulum magna et risus consec",0
"Fusce risus quam, eleifend ut lorem ut, ultri",0
"Sed non tortor nec odio finibus vulputate. Ae",0
"Aliquam ut orci auctor, blandit felis in, rho",0
"Ut pretium ipsum tempor, interdum justo et, s",0
"Proin sed dui sit amet sapien consectetur gra",0
"t ultrices posuere cubilia Curae; Aenean eget",0
"Cras egestas maximus enim ac molestie. Nam at",0
"Nam molestie aliquam malesuada. Nunc et pulvi",0
"Pellentesque vestibulum magna et risus consec",0
"Fusce risus quam, eleifend ut lorem ut, ultri",0
"Sed non tortor nec odio finibus vulputate. Ae",0
"Aliquam ut orci auctor, blandit felis in, rho",0
"Ut pretium ipsum tempor, interdum justo et, s",0
"Proin sed dui sit amet sapien consectetur gra",0
"t ultrices posuere cubilia Curae; Aenean egme",0
"Pellentesque vestibulum magna et risus consec",0
"Fusce risus quam, eleifend ut lorem ut, ultri",0
"Sed non tortor nec odio finibus vulputate. Ae",0
"Nullam nibh sapien, tempor et egestas vel, mo",0
"Nam molestie aliquam malesuada. Nunc et pulvi",0
"Proin posuere sem urna, vel iaculis justo pel",0
"Nullam nibh sapien, tempor et egestas vel, mo",0
"Nam molestie aliquam malesuada. Nunc et pulvi",0
"Pellentesque vestibulum magna et risus consec",0
"Fusce risus quam, eleifend ut lorem ut, ultri",0
"Sed non tortor nec odio finibus vulputate. Ae",0
"Aliquam ut orci auctor, blandit felis in, rho",0
"Ut pretium ipsum tempor, interdum justo et, s",0
"Proin sed dui sit amet sapien consectetur gra",0
"t ultrices posuere cubilia Curae; Aenean egme",0
"Pellentesque vestibulum magna et risus consec",0
"Fusce risus quam, eleifend ut lorem ut, ultri",0
"Sed non tortor nec odio finibus vulputate. Ae",0
"Aliquam ut orci auctor, blandit felis in, rho",0
"Ut pretium ipsum tempor, interdum justo et, s",0
"Proin sed dui sit amet sapien consectetur gra",0
"Donec lectus nisl, facilisis in purus non, di",0
"Proin nec ex molestie, pulvinar velit at, fer",0
"Donec sed egestas nibh. Proin malesuada portt",0
"Integer venenatis mi eu odio iaculis maximus.",0
"Etiam consectetur lobortis orci ut euismod. M",0
"Curabitur nec molestie est. Nulla facilisi. S",0
"Morbi eu nibh turpis. Maecenas aliquet eros v",0
"Ut eros nisi, laoreet in sagittis eget, tempu",0
"Proin ultricies fringilla dui, in volutpat er",0
"Suspendisse quis mi et erat malesuada congue.",0
"Curabitur rhoncus tincidunt sem. Donec quis t",0
"Vivamus elementum mi ut velit efficitur, eu l",0
"Cras auctor cursus tortor, sit amet facilisis",0
"Sed risus felis, luctus nec odio aliquam, mat",0
"Nam condimentum viverra ante, eu vehicula era",0
"Morbi sodales, massa at feugiat convallis, ni",0
"Integer libero risus, efficitur id commodo ne",0
"Vivamus elementum mi ut velit efficitur, eu l",0
"Cras auctor cursus tortor, sit amet facilisis",0
"Sed risus felis, luctus nec odio aliquam, mat",0
"Nam condimentum viverra ante, eu vehicula era",0
"Morbi sodales, massa at feugiat convallis, ni",0
"Integer libero risus, efficitur id commodo ne",0
"Mauris faucibus tortor justo, non interdum ni",0
"Maecenas volutpat sem ante, tempor pretium el",0
"In hac habitasse platea dictumst. Sed a molli",0
"Phasellus cursus lorem est, et semper lorem s",0
"Phasellus volutpat quis lectus sit amet imper",0
"Vivamus elementum mi ut velit efficitur, eu l",0
"Sed risus felis, luctus nec odio aliquam, mat",0
"Nam condimentum viverra ante, eu vehicula era",0
"Morbi sodales, massa at feugiat convallis, ni",0
"Integer libero risus, efficitur id commodo ne",0
"Mauris faucibus tortor justo, non interdum ni",0
"Maecenas volutpat sem ante, tempor pretium el",0
"In hac habitasse platea dictumst. Sed a molli",0
"Phasellus cursus lorem est, et semper lorem s",0
"Phasellus volutpat quis lectus sit amet imper",0
"Vivamus elementum mi ut velit efficitur, eu l",0
"Cras auctor cursus tortor, sit amet facilisis",0
"Sed risus felis, luctus nec odio aliquam, mat",0
"Nam condimentum viverra ante, eu vehicula era",0
"Morbi sodales, massa at feugiat convallis, ni",0
"Integer libero risus, efficitur id commodo ne",0
"Mauris faucibus tor onvallis vitae tortor eu",0
"Proin a eros sed elit eleifend tempus. Donec",0
"Maecenas volutpat sem ante, tempor pretium el",0
"Proin a eros sed elit eleifend tempus. Donec",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Duis vulputate velit eget quam vulputate, vit",0
"In hac habitasse platea dictumst. Sed a molli",0
"Phasellus cursus lorem est, et semper lorem s",0
"Phasellus volutpat quis lectus sit amet imper",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Phasellus cursus lorem est, et semper lorem s",0
"Phasellus volutpat quis lectus sit amet imper",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Proin a eros sed elit eleifend tempus. Donec",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Duis vulputate velit eget quam vulputate, vit",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Proin a eros sed elit eleifend tempus. Donec",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Integer semper nunc sem, et consectetur enim",0
"Phasellus volutpat quis lectus sit amet imper",0
"Proin a eros sed elit eleifend tempus. Donec",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Duis vulputate velit eget quam vulputate, vit",0
"i. Nulla imperdiet purus ut augue sagittis, i",0
"Duis vulputate velit eget quam vulputate, vit",0
"Lorem ipsum dolor sit amet, consectetur adipi",0
"Etiam ultricies velit orci, sed viverra felis",0
"Phasellus a blandit augue. Proin quis risus l",0
"Etiam facilisis porttitor ipsum, vitae maximu",0
"Etiam ultricies velit orci, sed viverra felis",0
"Phasellus a blandit augue. Proin quis risus l",0
"dales nibh varius vitae. Integer vitae magna",0
"Quisque aliquam lorem turpis. Cras gravida to",0
"Aliquam erat volutpat. Pellentesque venenatis",0
"Duis vulputate velit eget quam vulputate, vit",0
"i. Nulla imperdiet purus ut augue sagittis, i",0
"Duis vulputate velit eget quam vulputate, vit",0
"Aliquam eleifend volutpat efficitur. Fusce ut",0
"Nullam vel pharetra tortor. Morbi aliquet est",0
"Ut eu justo sed sem congue suscipit. Fusce lu",0
"Integer libero risus, efficitur id commodo ne",0
"Mauris faucibus tortor justo, non interdum ni",0
"Maecenas volutpat sem ante, tempor pretium el",0
"Quisque a elit posuere, tincidunt mauris et,",0
"Suspendisse posuere commodo neque bibendum bl",0
"Mauris posuere nunc a nunc finibus, et laoree",0
"Proin eget magna a ligula tempus commodo sed",0
"Donec ut lacinia diam. Curabitur quis ferment",0
"Maecenas posuere neque nec tempor malesuada.",0
"Proin in ipsum congue, suscipit sem vel, cons",0
"Mauris condimentum nunc a sodales convallis.",0
"Suspendisse ut fringilla enim. Sed ornare eni",0
"Vestibulum ante mi, placerat non leo auctor,",0
"Nulla ornare congue mi sed molestie. Suspendi",0
"Pellentesque quis augue at leo pretium facili",0
"Mauris accumsan ornare nunc, ut tempus orci m",0
"Sed suscipit malesuada turpis vitae suscipit.",0
"Morbi a molestie arcu. Vivamus vitae varius o",0
"In hac habitasse platea dictumst. Proin ut fe",0
"Donec iaculis urna a erat molestie aliquet. A",0
"Nunc finibus, elit ut sagittis interdum, feli",0
"Proin in ipsum congue, suscipit sem vel, cons",0
"Mauris condimentum nunc a sodales convallis.",0
"Suspendisse ut fringilla enim. Sed ornare eni",0
"Vestibulum ante mi, placerat non leo auctor,",0
"Nulla ornare congue mi sed molestie. Suspendi",0
"Pellentesque quis augue at leo pretium facili",0
"Mauris accumsan ornare nunc, ut tempus orci m",0
"Sed suscipit malesuada turpis vitae suscipit.",0
"Morbi a molestie arcu. Vivamus vitae varius o",0
"In hac habitasse platea dictumst. Proin ut fe",0
"Donec iaculis urna a erat molestie aliquet. A",0
"Suspendisse lacinia sem eget nisl faucibus pu",0
"Morbi elementum at turpis sit amet sodales. P",0
"Integer interdum maximus eleifend. Aenean ex",0
"Nullam rhoncus mollis odio, vitae iaculis vel",0
"Proin feugiat ligula vel lobortis egestas. Ut",0
"Mauris enim massa, tempor sed scelerisque in,",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"Proin efficitur interdum finibus. Ut nec erat",0
"Vivamus eu rhoncus dui, tristique commodo eni",0
"Donec odio nunc, tincidunt ac justo ac, gravi",0
"Quisque mauris turpis, posuere id condimentum",0
"Praesent ut lorem a sapien scelerisque bibend",0
"Etiam ultricies velit orci, sed viverra felis",0
"Phasellus a blandit augue. Proin quis risus l",0
"Etiam facilisis porttitor ipsum, vitae maximu",0
"Quisque aliquam lorem turpis. Cras gravida to",0
"Aliquam eleifend volutpat efficitur. Fusce ut",0
"Nullam vel pharetra tortor. Morbi aliquet est",0
"In et enim viverra, vulputate sem a, imperdie",0
"Sed tincidunt quam aliquet enim dignissim, et",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"Donec ultricies ex turpis, eu condimentum aug",0
"Aenean mollis viverra feugiat. Phasellus pell",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Nulla metus odio, auctor ut justo at, bibendu",0
"Nam ornare dapibus velit a hendrerit. Ut sed",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"Donec ultricies ex turpis, eu condimentum aug",0
"Praesent vel purus ac massa fringilla gravida",0
"metus leo scelerisque justo, non bibendum ex",0
"Sed suscipit malesuada turpis vitae suscipit.",0
"Morbi a molestie arcu. Vivamus vitae varius o",0
"In hac habitasse platea dictumst. Proin ut fe",0
"Donec iaculis urna a erat molestie aliquet. A",0
"Integer id facilisis turpis. Nam sit amet sol",0
"Ut a elit accumsan tellus scelerisque finibus",0
"Aliquam quis leo sodales, porttitor elit port",0
"Donec bibendum nisi odio, eget dignissim risu",0
"Fusce tellus dui, congue quis nunc at, dapibu",0
"Donec ultricies ex turpis, eu condimentum aug",0
"Aenean mollis viverra feugiat. Phasellus pell",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna eu feugiat malesuada.",0
"Aenean mollis viverra feugiat. Phasellus pell",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Praesent laoreet magna e Morbi viverra semper",0
"Vivamus fermentum non ante quis cursus. Sed n",0
"Aliquam iaculis porttitor ante id tempor. Ali",0
"Cras orci lorem, interdum eu est v efficitur",0
"Integer porttitor maximus turpis, ac convalli",0
"Sed ac nulla non ex sodales vehicula. Curabit",0
"Donec ut quam ac nisl fringilla condimentum.",0
"Nunc imperdiet mi non diam porta malesuada. S",0
"Integer nec pulvinar tortor. Donec vehicula o",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Integer nec pulvinar tortor. Donec vehicula o",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Maecenas orci lacus, posuere ac neque ut, iac",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Integer nec pulvinar tortor. Donec vehicula o",0
"Pellentesque ultrices elementum posuere. Susp",0
"Curabitur egestas accumsan est, ut molestie t",0
"Maecenas orci lacus, posuere ac neque ut, iac",0
"Pellentesque odio sapien, bibendum et dolor u",0
"Proin condimentum condimentum augue ultrices",0
"Fusce eget maximus massa. Aenean dignissim eg",0
"Vivamus in ex condimentum, efficitur orci id,",0
"Aenean vestibulum nulla ac imperdiet vulputat",0
"Nunc imperdiet malesuada erat et vulputate. A",0
"Cras tincidunt eleifend arcu. Morbi tincidunt",0
"Quisque vel elit enim. Pellentesque bibendum,",0
"Cras tincidunt eleifend arcu. Morbi tincidunt",0
" sit amet at tortor. Donec ut sodales augue.",0
"dales est, vel blandit arcu mauris et felis.",0
"tis urna hendrerit lectus ultrices interdum.",0
" sit amet at tortor. Donec ut sodales augue.",0
"dales est, vel blandit arcu mauris et felis.",0
"tis urna hendrerit lectus ultrices interdum.",0
"t ligula, sed ornare ligula aliquam sodales.",0
"ismod nec velit ut, dignissim lobortis orci.",0
"luctus enim, at sodales justo nulla in quam.",0
"que augue, eget euismod augue nisi at felis.",0
"um ut ligula faucibus ultricies nec a felis.",0
"r ex ullamcorper, ut tincidunt nisl egestas.",0
"uismod nisi sed enim tincidunt sollicitudin.",0
"uscipit urna gravida neque finibus interdum.",0
"bus non ligula vitae, ultricies accumsan mi.",0
"us feugiat gravida. Donec sed feugiat lorem.",0
"a consectetur erat. Mauris eget justo neque.",0
"n dignissim elit. Vivamus eu lacinia tortor.",0
"itur sed lectus sed justo lacinia efficitur.",0
"ris eget luctus bibendum. In ut lectus urna.",0
"r ex ullamcorper, ut tincidunt nisl egestas.",0
"uismod nisi sed enim tincidunt sollicitudin.",0
"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",1
"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",1
"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",1
"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",1
"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",1
"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",1
"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",1
"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",1
"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",1
"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",1
"75 East Capitol Drive, Kapitolyo, Pasig City",1
"23 East Capitol Drive, Kapitolyo, Pasig City",1
"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",1
"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",1
"17 J. Abad Santos Drive, Little Baguio, San Juan City",1
"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",1
"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",1
"Aguinaldo Highway, Tagaytay City",1
"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",1
"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",1
"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",1
"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",1
"SCLN, 208, Bloco A, Loja 30, Asa Norte, Bras�_lia",1
"SCLN 104, Bloco A, Loja 26, Asa Norte, Bras�_lia",1
"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Bras�_lia",1
"CLN 110, Bloco D, Loja 28, Asa Norte, Bras�_lia",1
"SCS 214, Bloco C, Loja 40, Asa Sul, Bras�_lia",1
"SCS 213, Bloco C, Loja 35, Asa Sul, Bras�_lia",1
"CLS 109, Bloco A, Loja 2/6, Asa Sul, Bras�_lia",1
"SCS 212, Bloco B, Loja 26, Asa Sul, Bras�_lia",1
"Edif�_cio Jos� Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Bras�_lia",1
"CLS 115, Bloco A, Loja 2, Asa Sul, Bras�_lia",1
"Rua 13 Norte, Lote 4, �guas Claras, Bras�_lia",1
"Avenida Arauc��rias, 1325, Loja 19, �guas Claras, Bras�_lia",1
"Vila Malls, Avenida das Castanheiras, Lote 1060, �guas Claras, Bras�_lia",1
"Bras�_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Bras�_lia",1
"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Bras�_lia",1
"ParkShopping - Piso 2, SAI/SO, �rea 6580, Guar�� I, Bras�_lia",1
"Pont�o Lago Sul, SHIS 10, Lote 9, Lago Sul, Bras�_lia",1
"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Bras�_lia",1
"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Bras�_lia",1
"CLSN 301, Bloco C, Loja 86, Sudoeste, Bras�_lia",1
"Praia da Barra da Tijuca, Avenida L�_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",1
"Rua Gon�_alves Dias, 32, Centro, Rio de Janeiro",1
"Rua Santa Clara, 36, Copabana, Rio de Janeiro",1
"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",1
"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",1
"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro",1
"Pra�_a Santos Dumont, 116, G��vea, Rio de Janeiro",1
"Rua An�_bal de Mendon�_a, 37, Ipanema, Rio de Janeiro",1
"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",1
"Rua Joana Ang�lica, 40, Ipanema, Rio de Janeiro",1
"Rua Jardim Bot�nico, 731, Jardim Bot�nico, Lagoa, Rio de Janeiro",1
"Le Monde, Bloco 3, Lojas A/B, Avenida das Am�ricas, 3500, Barra da Tijuca, Rio de Janeiro",1
"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",1
"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",1
"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",1
"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",1
"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",1
"Rua Apraz�_vel, 62, Santa Teresa, Rio de Janeiro",1
"Rua Bar�o de Iguatemi, 379, Tijuca, Rio de Janeiro",1
"Avenida Jo�o Alves, 56, Urca, Rio de Janeiro",1
"Rua Avanhandava, 81, Bela Vista, S�o Paulo 10000",1
"Rua Treze de Maio, 668, Bela Vista, S�o Paulo 01327000",1
"Rua Antonio Carlos, 429, Consola�_�o, S�o Paulo",1
"Rua Ant��nio Carlos, 268, Consola�_�o, S�o Paulo",1
"Hotel Unique, Avenida Brigadeiro Lu�_s Ant��nio, 4700, Jardim Paulista, S�o Paulo",1
"Rua Jesu�_no Arruda, 470, Itaim Bibi, S�o Paulo",1
"Rua Tabapu�, 1417, Itaim Bibi, S�o Paulo",1
"Rua Pedroso Alvarenga, 522, Itaim Bibi, S�o Paulo, SP",1
"Rua Haddock Lobo, 1240, Cerqueira C�sar, Jardim Paulista, S�o Paulo",1
"Alameda Lorena, 300, Jardim Paulista, S�o Paulo",1
"Rua Haddock Lobo, 1738, Cerqueira C�sar, Jardim Paulista, S�o Paulo 10000",1
"Rua Jacques F�lix, 405, Vila Nova Concei�_�o, Moema, S�o Paulo",1
"Rua dos Pinheiros, 320, Pinheiros, S�o Paulo",1
"Pra�_a Dom Jos� Gaspar, 42, Rep�_blica, S�o Paulo 10000",1
"Edif�_cio It��lia - 41�� Andar, Avenida Ipiranga, 344, Rep�_blica, S�o Paulo",1
